lng,lat,price,number of rooms
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.215620"" data-longitude=""-122.991850"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.215620"" data-longitude=""-122.991850"" id=""map""></div>]",$3200,/ 4br - 2000ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.260589"" data-longitude=""-123.140869"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.260589"" data-longitude=""-123.140869"" id=""map""></div>]",$1050,/ 500ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.027396"" data-longitude=""-122.830121"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.027396"" data-longitude=""-122.830121"" id=""map""></div>]",$1550,/ 2br -
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.172824"" data-longitude=""-123.157725"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.172824"" data-longitude=""-123.157725"" id=""map""></div>]",$2000,/ 1br - 810ft
[],[],$975,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.281582"" data-longitude=""-122.753588"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.281582"" data-longitude=""-122.753588"" id=""map""></div>]",$2700,/ 3br - 1744ft
[],[],$1950,/ 4br -
[],[],$1100,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.218932"" data-longitude=""-122.639341"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.218932"" data-longitude=""-122.639341"" id=""map""></div>]",$1050,/ 2br - 800ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.209299"" data-longitude=""-123.129444"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.209299"" data-longitude=""-123.129444"" id=""map""></div>]",$1200,/ 1br -
[],[],$1200,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.235394"" data-longitude=""-123.101721"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.235394"" data-longitude=""-123.101721"" id=""map""></div>]",$1350,/ 2br -
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.228063"" data-longitude=""-122.985723"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.228063"" data-longitude=""-122.985723"" id=""map""></div>]",$1200,/ 2br - 1500ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.106050"" data-longitude=""-122.761686"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.106050"" data-longitude=""-122.761686"" id=""map""></div>]",$750,/ 2br - 850ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.253549"" data-longitude=""-123.104167"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.253549"" data-longitude=""-123.104167"" id=""map""></div>]",$1700,/ 2br - 950ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.306951"" data-longitude=""-123.067545"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.306951"" data-longitude=""-123.067545"" id=""map""></div>]",$2600,/ 2br - 1000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.234567"" data-longitude=""-123.151481"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.234567"" data-longitude=""-123.151481"" id=""map""></div>]",$1450,/ 2br - 960ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.106350"" data-longitude=""-122.825090"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.106350"" data-longitude=""-122.825090"" id=""map""></div>]",$850,/ 2br - 925ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.287657"" data-longitude=""-123.125787"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.287657"" data-longitude=""-123.125787"" id=""map""></div>]",$2600,/ 2br - 700ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.334822"" data-longitude=""-123.078287"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.334822"" data-longitude=""-123.078287"" id=""map""></div>]",$3875,/ 4br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.044769"" data-longitude=""-122.327911"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.044769"" data-longitude=""-122.327911"" id=""map""></div>]",$750,/ 1br - 850ft
[],[],$900,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.274959"" data-longitude=""-123.133103"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.274959"" data-longitude=""-123.133103"" id=""map""></div>]",$3500,/ 2br - 1100ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.109229"" data-longitude=""-122.867667"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.109229"" data-longitude=""-122.867667"" id=""map""></div>]",$750,/ 1br -
[],[],$2200,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.171175"" data-longitude=""-123.144704"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.171175"" data-longitude=""-123.144704"" id=""map""></div>]",$218,/ 2br - 750ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.170481"" data-longitude=""-123.144808"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.170481"" data-longitude=""-123.144808"" id=""map""></div>]",$188,/ 1br - 700ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.170369"" data-longitude=""-123.144840"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.170369"" data-longitude=""-123.144840"" id=""map""></div>]",$228,/ 1br - 900ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.263419"" data-longitude=""-122.790091"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.263419"" data-longitude=""-122.790091"" id=""map""></div>]",$925,/ 2br - 1000ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.266740"" data-longitude=""-122.993059"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.266740"" data-longitude=""-122.993059"" id=""map""></div>]",$2595,/ 2br - 1000ft
[],[],$800,/ 2br - 1250ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.270325"" data-longitude=""-123.060780"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.270325"" data-longitude=""-123.060780"" id=""map""></div>]",$995,/ 1br - 590ft
[],[],$1400,/ 2br -
[],[],$800,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.220596"" data-longitude=""-122.973833"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.220596"" data-longitude=""-122.973833"" id=""map""></div>]",$1050,/ 1br - 725ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.259431"" data-longitude=""-123.153960"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.259431"" data-longitude=""-123.153960"" id=""map""></div>]",$4500,/ 3br - 1672ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.287179"" data-longitude=""-122.776380"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.287179"" data-longitude=""-122.776380"" id=""map""></div>]",$1250,/ 2br - 1100ft
[],[],$850,/ 1br - 750ft
